id,name
0,Bending something so that it deforms
1,Dropping something behind something
2,Dropping something in front of something
3,Dropping something into something
4,Holding something
5,Holding something behind something
6,Holding something in front of something
7,Letting something roll along a flat surface
8,Letting something roll down a slanted surface
9,Lifting a surface with something on it but not enough for it to slide down
10,Lifting a surface with something on it until it starts sliding down
11,Lifting something up completely without letting it drop down
12,"Lifting something up completely, then letting it drop down"
13,Moving away from something with your camera
14,Moving part of something
15,Moving something across a surface until it falls down
16,Moving something across a surface without it falling down
17,Moving something and something away from each other
18,Moving something and something closer to each other
19,Moving something and something so they collide with each other
20,Plugging something into something
21,Poking a hole into some substance
22,Poking a hole into something soft
23,Poking a stack of something so the stack collapses
24,Poking a stack of something without the stack collapsing
25,Pouring something into something
26,Pouring something into something until it overflows
27,Pretending or failing to wipe something off of something
28,Pretending or trying and failing to twist something
29,Pretending to be tearing something that is not tearable
30,Pretending to close something without actually closing it
31,Pretending to open something without actually opening it
32,Pretending to pick something up
33,Pretending to poke something
34,"Pretending to pour something out of something, but something is empty"
35,Pretending to put something behind something
36,Pretending to put something into something
37,Pretending to put something next to something
38,Pulling something from behind of something
39,Pulling something from left to right
40,Pulling something from right to left
41,Pulling something onto something
42,Pushing something from left to right
43,Pushing something from right to left
44,Pushing something off of something
45,Pushing something onto something
46,Pushing something so it spins
47,Putting number of something onto something
48,Putting something and something on the table
49,Putting something behind something
50,Putting something in front of something
51,Putting something into something
52,Putting something next to something
53,Putting something on a flat surface without letting it roll
54,Putting something on a surface
55,Putting something on the edge of something so it is not supported and falls down
56,Putting something onto a slanted surface but it doesn't glide down
57,Showing a photo of something to the camera
58,Showing something behind something
59,Showing something next to something
60,Showing something on top of something
61,Something being deflected from something
62,Something colliding with something and both are being deflected
63,Something falling like a feather or paper
64,Spilling something behind something
65,Spilling something next to something
66,Spinning something so it continues spinning
67,Taking one of many similar things on the table
68,Taking something from somewhere
69,Tearing something into two pieces
70,Throwing something
71,Throwing something against something
72,Throwing something in the air and catching it
73,Tilting something with something on it slightly so it doesn't fall down
74,Tipping something over
75,Trying but failing to attach something to something because it doesn't stick
76,Trying to bend something unbendable so nothing happens
77,Turning something upside down
78,Turning the camera downwards while filming something
79,Turning the camera left while filming something
80,Twisting (wringing) something wet until water comes out

